,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,Date,Ticker,Return
1833,-10.132197,-10.130673,-10.834767,-10.816006,-10.140989,-9.970536,-10.894195,-10.777477,-8.536934,-8.940623,2023-05-01,AAPL,-0.0005305509
1834,-10.153251,-10.226011,-10.770878,-10.928084,-10.561347,-10.972393,-11.236977,-11.272317,-8.212835,-9.416059,2023-05-02,AAPL,-0.006210649
1835,-10.226172,-10.2195215,-11.135566,-10.741618,-10.433776,-10.3863945,-11.684278,-10.77115,-9.000174,-9.637663,2023-05-03,AAPL,-0.006488311
1836,-9.488836,-9.385813,-10.315357,-10.064321,-9.95742,-10.31922,-10.937144,-10.428084,-7.3470836,-8.208413,2023-05-04,AAPL,-0.009962872
1837,-9.522726,-9.471294,-10.112557,-10.331102,-9.849749,-9.838048,-10.529225,-10.556752,-7.3580213,-8.569576,2023-05-05,AAPL,0.04585905
1838,-9.647706,-9.767815,-10.132977,-10.603594,-9.409355,-9.371857,-9.716064,-10.7406435,-6.57259,-6.312846,2023-05-08,AAPL,-0.00040337685
1839,-10.008491,-10.0301895,-10.667178,-10.737324,-10.202333,-10.120333,-10.825475,-10.970753,-7.6430936,-8.558808,2023-05-09,AAPL,-0.0100212265
1840,-10.573362,-10.502064,-11.443546,-11.116143,-11.213082,-11.221298,-12.228805,-11.662708,-8.575974,-11.376,2023-05-10,AAPL,0.01033818
1841,-10.106577,-10.110996,-10.8022,-10.79725,-9.907462,-9.997267,-10.484697,-10.731735,-8.339092,-8.280164,2023-05-11,AAPL,0.0011229324
1842,-10.426088,-10.415763,-11.182629,-11.059616,-10.168261,-10.052643,-11.129374,-10.650279,-9.30936,-8.876091,2023-05-12,AAPL,-0.0054247594
1843,-10.569224,-10.569127,-11.386532,-11.151932,-10.705947,-10.717027,-11.620066,-11.218215,-9.980425,-10.126854,2023-05-15,AAPL,-0.0029015804
1844,-10.872086,-10.888678,-11.8262005,-11.3584585,-11.174388,-11.198321,-12.102545,-11.677368,-10.124162,-11.11363,2023-05-16,AAPL,0.0
1845,-10.775444,-10.783056,-11.476921,-11.46032,-10.886878,-10.878018,-11.5111885,-11.653942,-10.199619,-10.531345,2023-05-17,AAPL,0.0035967089
1846,-10.381431,-10.398262,-11.136279,-11.016458,-10.5126705,-10.464741,-11.146589,-11.268768,-9.173266,-9.92477,2023-05-18,AAPL,0.013573567
1847,-10.361713,-10.409641,-11.0547285,-11.054986,-10.162347,-10.299386,-10.698896,-11.041245,-9.422321,-9.131466,2023-05-19,AAPL,0.00062819454
1848,-10.316108,-10.281061,-11.128565,-10.902669,-10.517165,-10.61056,-11.430325,-11.030077,-9.289551,-9.867631,2023-05-22,AAPL,-0.0054957774
1849,-10.323934,-10.299817,-11.029527,-11.004782,-10.6498785,-10.821177,-11.324193,-11.362211,-8.685269,-9.928807,2023-05-23,AAPL,-0.015271005
1850,-10.378655,-10.357252,-11.279351,-10.900008,-10.736844,-10.657021,-11.788828,-11.166457,-8.874391,-10.352573,2023-05-24,AAPL,0.0016307516
1851,-10.228212,-10.373176,-10.782216,-11.083036,-10.292946,-10.604996,-10.755409,-11.286462,-8.554699,-8.960688,2023-05-25,AAPL,0.006669978
1852,-10.022852,-10.148713,-10.674211,-10.759606,-10.214176,-10.140527,-10.849144,-10.969091,-8.143954,-9.34144,2023-05-26,AAPL,0.014006314
1853,-10.40438,-10.462606,-10.914217,-11.322146,-10.722109,-10.892151,-11.030905,-12.047595,-9.222876,-9.026953,2023-05-30,AAPL,0.01060311
1854,-9.949148,-9.884101,-10.616983,-10.668259,-9.704892,-9.8167305,-10.351033,-10.447361,-8.357372,-7.436218,2023-05-31,AAPL,-0.00028204767
1855,-9.629351,-9.822214,-10.596982,-10.107355,-9.509673,-10.10558,-10.588837,-9.925004,-5.815221,-6.1175885,2023-06-01,AAPL,0.01589556
1856,-10.092945,-10.194056,-10.749167,-10.824428,-10.456839,-10.42476,-10.853612,-11.573052,-8.209294,-9.723206,2023-06-02,AAPL,0.004764024
1857,-10.1847315,-10.206123,-10.983441,-10.782398,-9.889119,-9.79722,-10.972501,-10.302284,-8.067756,-7.7451234,2023-06-05,AAPL,-0.0075999587
1858,-8.731054,-8.79414,-9.650231,-9.23996,-8.335761,-8.620361,-9.945225,-8.558898,-5.294742,-4.055698,2023-06-06,AAPL,-0.0020624886
1859,-9.681332,-9.795869,-10.637921,-10.1661625,-9.342998,-9.673594,-10.492467,-9.72397,-6.511896,-6.0109363,2023-06-07,AAPL,-0.0077865
1860,-9.615159,-9.581567,-10.24231,-10.378965,-9.375709,-10.051597,-9.705066,-10.64648,-7.362173,-5.685242,2023-06-08,AAPL,0.0153467115
1861,-10.210638,-10.268374,-10.780272,-11.044727,-10.6849375,-10.6866865,-11.160749,-11.656149,-8.404927,-10.549906,2023-06-09,AAPL,0.0021574982
1862,-10.09755,-10.171351,-10.897807,-10.6939535,-10.290351,-10.280234,-11.169501,-10.82672,-8.4340925,-9.425573,2023-06-12,AAPL,0.015517789
1863,-10.771046,-10.810466,-11.249046,-11.738675,-10.836695,-11.079885,-11.2044,-12.015377,-9.918947,-10.036145,2023-06-13,AAPL,-0.0026150928
1864,-10.061593,-10.038107,-10.617369,-10.914028,-10.204019,-10.555856,-10.54517,-11.44517,-8.143374,-7.8125916,2023-06-14,AAPL,0.0034852729
1865,-9.9098015,-9.943754,-10.6222315,-10.584027,-10.008528,-10.274526,-10.672985,-10.731207,-8.153687,-8.231996,2023-06-15,AAPL,0.0111364545
1866,-10.400413,-10.378729,-11.0348425,-11.155933,-10.80039,-10.8817005,-11.229644,-11.8530445,-9.457054,-10.357503,2023-06-16,AAPL,-0.0058771367
1867,-10.413415,-10.362431,-11.315982,-10.93349,-10.239236,-10.817832,-11.821332,-10.46933,-8.822498,-7.2759337,2023-06-20,AAPL,0.00048657856
1868,-10.398117,-10.338799,-10.967588,-11.232416,-10.070149,-10.336867,-10.415043,-11.302157,-9.217386,-7.1837907,2023-06-21,AAPL,-0.005691535
1869,-10.475701,-10.52442,-11.222233,-11.118163,-10.428767,-10.503166,-11.421313,-10.891802,-9.663473,-9.441181,2023-06-22,AAPL,0.016390273
1870,-10.458082,-10.503378,-10.953501,-11.397929,-10.272908,-10.481965,-10.6004305,-11.548392,-9.287111,-8.644358,2023-06-23,AAPL,-0.0017126958
1871,-10.325017,-10.331533,-11.065621,-10.972852,-10.559976,-10.517574,-11.217393,-11.290168,-8.550425,-9.593376,2023-06-26,AAPL,-0.0075817006
1872,-10.354511,-10.386768,-11.099335,-10.998516,-10.549757,-10.542771,-11.54611,-11.010554,-9.2994795,-9.889752,2023-06-27,AAPL,0.014946841
1873,-10.789232,-10.792541,-11.349119,-11.636157,-11.016636,-11.047636,-11.454834,-12.052814,-9.829338,-10.42589,2023-06-28,AAPL,0.0063078315
1874,-10.398458,-10.453634,-11.086399,-11.096831,-10.326479,-10.479258,-10.97381,-11.0676365,-9.196173,-9.149181,2023-06-29,AAPL,0.0017949535
1875,-10.305169,-10.468595,-10.957017,-11.041389,-10.559351,-10.89125,-11.059057,-11.492546,-7.8819866,-8.93296,2023-06-30,AAPL,0.022839662
1876,-10.547733,-10.484636,-11.119457,-11.379102,-10.782446,-10.832976,-11.161758,-11.935494,-8.8718605,-9.646906,2023-07-03,AAPL,-0.007815168
1877,-10.985491,-10.917911,-11.905438,-11.4938755,-11.400247,-11.404952,-12.658369,-11.73457,-9.779806,-10.983328,2023-07-05,AAPL,-0.005888654
1878,-10.403986,-10.439826,-11.0043125,-11.199453,-10.31835,-10.418333,-10.896378,-11.141607,-8.56473,-8.654155,2023-07-06,AAPL,0.0025056128
1879,-10.545065,-10.565956,-11.201398,-11.276425,-10.814469,-10.761038,-11.377396,-11.65736,-8.782815,-10.4593115,2023-07-07,AAPL,-0.0059086685
1880,-10.589281,-10.602106,-11.328937,-11.23798,-10.745318,-10.780487,-11.65034,-11.26372,-9.488272,-10.226234,2023-07-10,AAPL,-0.010915239
1881,-9.847466,-9.956382,-10.563052,-10.518663,-10.043014,-9.938386,-10.912243,-10.586487,-7.572344,-8.871959,2023-07-11,AAPL,-0.0028139867
1882,-10.404433,-10.332718,-11.243711,-10.970101,-10.168997,-10.266536,-11.104782,-10.66703,-8.99859,-8.541158,2023-07-12,AAPL,0.008945408
1883,-10.232186,-10.267198,-10.907925,-10.943045,-10.177947,-10.112901,-10.926767,-10.818352,-8.897203,-8.516364,2023-07-13,AAPL,0.0040493337
1884,-10.5363865,-10.515546,-11.304958,-11.159393,-10.968755,-10.929359,-11.763274,-11.569856,-8.958347,-10.406595,2023-07-14,AAPL,0.0007869266
1885,-10.672191,-10.8282385,-11.284084,-11.453773,-10.916283,-11.050269,-11.350254,-11.960195,-9.372131,-10.148328,2023-07-17,AAPL,0.017157538
1886,-10.596108,-10.747529,-11.109075,-11.509187,-10.702676,-10.923787,-10.937723,-12.265844,-9.012463,-9.247165,2023-07-18,AAPL,-0.0013411742
1887,-10.727205,-10.791813,-11.518453,-11.331014,-10.8607645,-10.785044,-11.655093,-11.462024,-9.565525,-10.604936,2023-07-19,AAPL,0.0070468104
1888,-8.991394,-9.102391,-9.483675,-9.936161,-9.016557,-9.012833,-9.329219,-10.331449,-4.7556343,-5.0742936,2023-07-20,AAPL,-0.010148711
1889,-10.114231,-10.177031,-10.879764,-10.739876,-9.966468,-10.221238,-10.903574,-10.46365,-8.799377,-8.387106,2023-07-21,AAPL,-0.006180714
1890,-10.082853,-10.125398,-10.913557,-10.655095,-10.371234,-10.40016,-11.278015,-10.888444,-7.9702563,-9.566889,2023-07-24,AAPL,0.004211189
1891,-10.476801,-10.496473,-11.207411,-11.133831,-10.116616,-10.418591,-10.706236,-10.925254,-9.06317,-8.082122,2023-07-25,AAPL,0.004503463
1892,-11.140884,-11.250103,-11.859923,-11.808779,-11.25391,-11.390059,-12.019481,-11.879512,-10.508552,-11.414461,2023-07-26,AAPL,0.004534688
1893,-10.025809,-9.983957,-10.664033,-10.777068,-10.0069,-10.448935,-10.569714,-10.849945,-8.596428,-7.835715,2023-07-27,AAPL,-0.006602727
1894,-10.082638,-10.083393,-10.880483,-10.681012,-10.044481,-10.115251,-10.880402,-10.612712,-8.831314,-8.809027,2023-07-28,AAPL,0.0134175
1895,-10.568521,-10.588596,-11.139756,-11.400524,-10.340396,-10.306014,-10.814941,-11.313693,-9.7919655,-9.586108,2023-07-31,AAPL,0.00316101
1896,-11.002001,-11.05056,-11.776451,-11.61995,-10.818873,-10.876639,-11.4118,-11.623403,-10.019404,-10.330309,2023-08-01,AAPL,-0.0043106265
1897,-10.942744,-11.001254,-11.6522,-11.619834,-11.091572,-11.057911,-11.878294,-11.699142,-9.74374,-11.053615,2023-08-02,AAPL,-0.015585667
1898,-10.364235,-10.451867,-11.254812,-10.892572,-10.153849,-10.127657,-11.320047,-10.527156,-9.1898775,-8.706156,2023-08-03,AAPL,-0.0073485672
1899,-10.061431,-10.261056,-10.942024,-10.596779,-10.323127,-10.347781,-10.973413,-11.061048,-7.6843433,-9.5870075,2023-08-04,AAPL,-0.049211346
1900,-8.91455,-8.918811,-9.550126,-9.668783,-8.766473,-8.70912,-9.527476,-9.396076,-4.972189,-4.961371,2023-08-07,AAPL,-0.017404275
1901,-9.170473,-9.370675,-10.301211,-9.560253,-9.273625,-9.454204,-10.650153,-9.564583,-4.863905,-6.227502,2023-08-08,AAPL,0.005297656
1902,-10.057647,-10.024853,-10.778527,-10.723804,-9.834485,-9.744284,-10.781101,-10.32559,-8.841931,-8.191715,2023-08-09,AAPL,-0.0089947255
1903,-10.146806,-10.1589,-11.0809145,-10.645923,-10.020763,-9.905146,-11.560666,-10.262071,-8.643015,-8.05292,2023-08-10,AAPL,-0.0012354
1904,-9.765874,-9.746021,-10.507616,-10.412676,-10.053658,-9.882034,-10.961883,-10.569893,-8.135917,-9.17328,2023-08-11,AAPL,0.00033707864
1905,-10.242517,-10.289029,-10.95327,-10.918358,-10.314285,-10.518317,-10.82397,-11.232283,-8.95168,-9.140644,2023-08-14,AAPL,0.009349263
1906,-10.354515,-10.423256,-10.951113,-11.154532,-10.3763685,-10.3116865,-10.812545,-11.416241,-8.894676,-9.432368,2023-08-15,AAPL,-0.011263463
1907,-10.702608,-10.691013,-11.5274935,-11.279361,-10.759693,-10.925616,-11.809245,-11.190615,-9.848538,-10.119677,2023-08-16,AAPL,-0.004971481
1908,-10.143542,-10.21329,-10.813381,-10.860549,-10.209431,-10.214362,-10.880059,-10.925611,-8.338581,-9.241329,2023-08-17,AAPL,-0.014662099
1909,-9.685891,-9.89514,-10.673596,-10.15179,-9.795527,-9.822487,-10.928982,-10.184014,-7.0049477,-8.114081,2023-08-18,AAPL,0.002812134
1910,-9.839955,-9.982531,-10.403845,-10.681578,-10.159889,-10.281598,-10.735898,-10.985733,-7.634654,-8.962885,2023-08-21,AAPL,0.007707057
1911,-10.375049,-10.359579,-11.102692,-11.034845,-10.368897,-10.387199,-11.061979,-11.062102,-9.171179,-9.260671,2023-08-22,AAPL,0.007873833
1912,-10.175547,-10.303201,-10.9948015,-10.756719,-10.539226,-10.657153,-11.375517,-11.10717,-8.620724,-9.729938,2023-08-23,AAPL,0.02171147
1913,-10.600171,-10.622531,-11.047624,-11.619742,-10.683772,-10.784761,-11.013314,-11.954059,-9.696769,-9.947035,2023-08-24,AAPL,-0.026519036
1914,-9.966829,-9.896557,-10.937673,-10.442869,-10.056038,-10.303324,-11.508008,-10.32275,-7.5250845,-8.112001,2023-08-25,AAPL,0.012563899
1915,-9.387713,-9.421931,-9.993049,-10.177129,-9.56757,-9.594628,-10.076393,-10.486868,-7.4757333,-7.5814395,2023-08-28,AAPL,0.008807192
1916,-10.118323,-10.24957,-10.945339,-10.69342,-10.510172,-10.662672,-11.267271,-11.143206,-8.029812,-9.302752,2023-08-29,AAPL,0.02157587
1917,-10.169179,-10.352022,-10.596886,-11.2247305,-10.243024,-10.508634,-10.535254,-11.615787,-8.011151,-8.585215,2023-08-30,AAPL,0.018990807
1918,-10.049503,-10.018287,-10.654707,-10.839075,-10.058568,-10.076537,-10.495148,-11.097706,-8.198087,-8.437706,2023-08-31,AAPL,0.0011717087
1919,-10.250512,-10.203158,-11.07759,-10.825562,-10.572597,-10.523776,-11.414992,-11.135899,-8.891416,-9.642586,2023-09-01,AAPL,0.008427686
1920,-10.38803,-10.346736,-11.189784,-10.983212,-10.505663,-10.420166,-11.376619,-11.04789,-8.688747,-9.4068775,2023-09-05,AAPL,0.0012659564
1921,-10.469573,-10.38774,-11.079492,-11.253504,-10.581298,-10.56416,-11.04456,-11.573453,-9.2988,-9.765382,2023-09-06,AAPL,-0.03644965
1922,-9.666886,-9.664383,-10.57426,-10.183699,-9.270557,-9.302658,-10.408667,-9.656842,-7.611912,-6.499963,2023-09-07,AAPL,-0.029685648
1923,-8.873873,-8.885795,-9.343335,-9.855604,-9.13218,-9.437907,-9.499442,-10.311874,-5.181887,-6.1296954,2023-09-08,AAPL,0.0034856952
1924,-9.848253,-9.869327,-10.501767,-10.5826645,-9.675375,-9.684358,-10.39182,-10.345752,-7.712898,-8.068867,2023-09-11,AAPL,0.006600684
1925,-10.114251,-10.119148,-10.944995,-10.6864605,-9.86098,-9.971709,-11.078322,-10.211976,-8.603351,-7.049521,2023-09-12,AAPL,-0.01720787
1926,-9.23635,-9.311307,-10.17151,-9.73479,-9.17006,-9.319541,-10.323783,-9.549067,-6.3019056,-7.161442,2023-09-13,AAPL,-0.011925621
1927,-9.452665,-9.437002,-10.245824,-10.054898,-9.755823,-9.780717,-10.680063,-10.26138,-6.6395493,-7.9718404,2023-09-14,AAPL,0.008744162
1928,-9.917626,-9.909766,-10.468821,-10.776258,-10.058022,-9.934382,-10.526899,-11.040724,-8.012956,-8.645347,2023-09-15,AAPL,-0.004162515
1929,-9.923817,-9.939019,-10.736228,-10.510416,-10.167666,-10.715116,-11.7230835,-10.40478,-7.663494,-7.3425527,2023-09-18,AAPL,0.01677188
1930,-9.953816,-9.876465,-10.573296,-10.726487,-9.926454,-10.574107,-10.205787,-11.338213,-7.6567907,-6.830835,2023-09-19,AAPL,0.006161794
1931,-10.357255,-10.246154,-10.923006,-11.196423,-10.5662985,-10.518325,-11.171716,-11.35561,-8.691608,-9.762679,2023-09-20,AAPL,-0.02019473
1932,-9.729776,-9.789979,-10.714266,-10.197587,-9.849188,-10.062661,-11.402675,-10.08682,-7.153418,-8.091853,2023-09-21,AAPL,-0.008929142
1933,-9.816468,-9.877441,-10.317529,-10.747584,-9.754639,-9.833881,-10.140775,-10.893062,-7.3614693,-7.2459106,2023-09-22,AAPL,0.0049323337
1934,-10.060918,-10.014219,-10.749883,-10.758261,-10.270461,-10.660588,-10.806603,-11.149934,-8.759569,-8.910434,2023-09-25,AAPL,0.007353184
1935,-9.875777,-9.860971,-10.373926,-10.811385,-10.091885,-10.063159,-10.484316,-11.217079,-7.2303634,-9.028803,2023-09-26,AAPL,-0.023676546
1936,-9.975087,-9.968515,-10.897015,-10.482168,-10.022924,-9.903031,-11.189686,-10.395978,-8.460334,-8.8956,2023-09-27,AAPL,-0.008937236
1937,-9.78136,-9.768027,-10.536842,-10.415827,-9.707684,-9.736287,-10.645855,-10.204182,-8.224375,-8.339366,2023-09-28,AAPL,0.0015243905
1938,-9.057806,-9.291868,-10.010147,-9.5453,-9.407429,-9.511364,-10.000269,-10.212075,-4.5820575,-7.4460936,2023-09-29,AAPL,0.0030418274
1939,-9.714214,-9.80545,-10.52563,-10.30161,-10.133146,-10.247597,-10.917863,-10.742405,-7.6478653,-9.03725,2023-10-02,AAPL,0.014726611
1940,-9.371148,-9.539992,-9.808202,-10.409426,-9.237627,-9.769007,-9.488976,-10.741583,-5.606569,-5.857981,2023-10-03,AAPL,-0.007800126
1941,-9.822394,-9.973791,-10.600242,-10.437455,-9.865906,-9.799734,-10.851454,-10.333085,-7.617652,-7.56851,2023-10-04,AAPL,0.0072820066
1942,-9.841757,-9.96193,-10.441323,-10.63815,-9.748074,-10.1526575,-10.154235,-10.84529,-8.060139,-7.4699225,2023-10-05,AAPL,0.0071721915
1943,-10.044444,-9.969447,-10.745058,-10.730176,-10.190209,-10.06387,-10.805002,-10.968371,-8.701391,-9.339538,2023-10-06,AAPL,0.014642714
1944,-9.819865,-9.888922,-10.480536,-10.546574,-10.08027,-10.198549,-10.541669,-11.0756,-7.3894515,-8.385151,2023-10-09,AAPL,0.008415669
1945,-10.233481,-10.2719555,-10.863153,-10.9944,-10.195886,-10.357059,-10.897383,-10.880747,-8.950851,-8.740455,2023-10-10,AAPL,-0.0033577736
1946,-10.1543045,-10.194241,-10.836332,-10.858691,-10.46344,-10.506367,-11.35411,-10.991713,-8.382848,-9.3371105,2023-10-11,AAPL,0.007872957
1947,-10.405556,-10.417887,-11.02207,-11.181692,-10.337495,-10.371435,-10.946258,-11.122803,-9.398185,-9.45525,2023-10-12,AAPL,0.005048414
1948,-10.07875,-10.074294,-10.696125,-10.853879,-10.118883,-10.105634,-10.741223,-10.88823,-8.996177,-9.027934,2023-10-13,AAPL,-0.010346071
1949,-9.877094,-9.9114275,-10.660716,-10.487274,-10.2845125,-10.453629,-11.266988,-10.753525,-8.151809,-9.45179,2023-10-16,AAPL,-0.0007271304
1950,-9.698508,-9.819628,-10.2559595,-10.548695,-9.718324,-10.043698,-10.052429,-10.977021,-6.903636,-6.8183784,2023-10-17,AAPL,-0.008823504
1951,-9.665742,-9.70198,-10.394237,-10.324746,-9.968636,-9.988934,-10.7425375,-10.58706,-7.8653345,-8.864961,2023-10-18,AAPL,-0.0074223406
1952,-9.755136,-9.727956,-10.388065,-10.512356,-9.630448,-9.749603,-10.2179785,-10.441696,-8.304834,-7.924017,2023-10-19,AAPL,-0.002163394
1953,-9.485954,-9.426665,-10.175863,-10.182347,-9.357099,-9.453133,-10.167134,-9.945599,-7.77348,-7.372896,2023-10-20,AAPL,-0.014813384
1954,-9.97398,-9.982809,-10.801087,-10.549007,-10.031343,-10.109009,-11.007479,-10.50417,-8.54039,-9.177911,2023-10-23,AAPL,0.0006938823
1955,-9.627964,-9.580733,-10.275303,-10.369116,-9.668644,-9.762905,-10.167387,-10.603333,-6.978938,-7.8790083,2023-10-24,AAPL,0.0025401236
1956,-9.761196,-9.771153,-10.626379,-10.307603,-10.073781,-10.29709,-10.711705,-10.825375,-7.388397,-8.003813,2023-10-25,AAPL,-0.013583537
1957,-9.706008,-9.715907,-10.445713,-10.354666,-9.890866,-9.883151,-10.652533,-10.519886,-7.905899,-8.437912,2023-10-26,AAPL,-0.024913268
1958,-9.208169,-9.255116,-10.027796,-9.78905,-9.119265,-9.025873,-10.074127,-9.605176,-7.04435,-7.314828,2023-10-27,AAPL,0.007937734
1959,-9.4537525,-9.388493,-10.131294,-10.16275,-9.342335,-9.1938715,-9.82992,-10.294529,-7.4313493,-7.0602064,2023-10-30,AAPL,0.012230219
1960,-9.576606,-9.715137,-10.176875,-10.372145,-9.641133,-9.6038,-10.151036,-10.558806,-6.7117567,-7.540647,2023-10-31,AAPL,0.0028147558
1961,-9.98935,-9.935639,-10.612595,-10.757652,-9.826255,-9.864281,-10.335343,-10.745153,-8.699302,-7.9815173,2023-11-01,AAPL,0.018565249
1962,-9.707069,-9.757337,-10.342078,-10.461942,-9.734924,-9.711743,-10.200838,-10.722602,-7.5884337,-8.097796,2023-11-02,AAPL,0.020482026
1963,-10.119752,-10.102907,-10.670535,-10.978943,-10.253892,-10.291239,-10.674987,-11.321951,-8.72263,-9.238943,2023-11-03,AAPL,-0.0051945234
1964,-9.2062845,-9.132874,-9.719241,-10.119385,-9.288444,-9.361516,-9.620059,-10.553452,-5.969399,-6.004583,2023-11-06,AAPL,0.014499524
1965,-9.984689,-9.910225,-10.549048,-10.825691,-10.009621,-10.195223,-10.304572,-11.374408,-8.291443,-8.292097,2023-11-07,AAPL,0.01434729
1966,-10.164181,-10.223139,-10.763959,-10.960316,-10.420365,-10.461078,-10.789931,-11.594881,-8.754857,-9.156012,2023-11-08,AAPL,0.0058676926
1967,-10.303411,-10.373126,-10.894691,-11.109983,-10.439854,-10.717976,-10.997762,-11.289425,-8.581154,-8.922792,2023-11-09,AAPL,-0.0026279786
1968,-10.057984,-10.022561,-10.848559,-10.662354,-10.055824,-10.166118,-10.854473,-10.653542,-8.738656,-8.80543,2023-11-10,AAPL,0.022924727
1969,-10.538315,-10.627624,-11.116603,-11.361238,-10.734434,-10.642641,-11.277712,-11.6039295,-9.002599,-10.148477,2023-11-13,AAPL,-0.008620743
1970,-10.656807,-10.651569,-11.545385,-11.186536,-10.877448,-10.899706,-11.896129,-11.325402,-9.675438,-10.514275,2023-11-14,AAPL,0.014184635
1971,-10.2722025,-10.292614,-11.150529,-10.809158,-10.253879,-10.4467535,-11.3993025,-10.636731,-7.595107,-7.9889665,2023-11-15,AAPL,0.0030363586
1972,-10.560788,-10.582342,-11.16761,-11.348415,-10.660202,-10.863148,-11.118408,-11.660996,-9.685974,-9.543044,2023-11-16,AAPL,0.009001438
1973,-10.213139,-10.214533,-10.90703,-10.905536,-10.311408,-10.352328,-10.959505,-11.0517235,-8.841697,-9.211162,2023-11-17,AAPL,-0.00010542963
1974,-10.560257,-10.532547,-11.32476,-11.186794,-10.661763,-10.721978,-11.626708,-11.141413,-9.622351,-9.813382,2023-11-20,AAPL,0.009235517
1975,-10.600829,-10.679106,-11.043292,-11.629305,-10.165643,-10.955289,-10.43875,-11.59697,-8.216273,-7.0858727,2023-11-21,AAPL,-0.004239845
1976,-10.871882,-10.963195,-11.6551075,-11.482389,-11.120899,-11.033583,-12.340378,-11.470992,-9.958974,-10.563164,2023-11-22,AAPL,0.0035083161
1977,-10.443342,-10.720333,-10.958719,-11.352837,-10.032576,-10.259061,-10.615713,-10.849342,-7.417253,-7.723125,2023-11-24,AAPL,-0.007028984
1978,-11.225345,-11.280037,-12.208724,-11.693809,-11.66008,-11.685996,-12.903063,-12.000475,-10.233728,-11.376629,2023-11-27,AAPL,-0.00094796723
1979,-10.972757,-11.027542,-11.722127,-11.612665,-11.105344,-11.154873,-11.955298,-11.66296,-9.622049,-10.629889,2023-11-28,AAPL,0.0032089246
1980,-11.131582,-11.151514,-11.742388,-11.91445,-11.309899,-11.4423485,-11.794996,-12.2660475,-10.02373,-11.19672,2023-11-29,AAPL,-0.005424349
1981,-10.596315,-11.06656,-11.104321,-11.51684,-10.77818,-11.177278,-11.365011,-11.590295,-7.128774,-9.011357,2023-11-30,AAPL,0.0030581064
1982,-10.634169,-10.619287,-11.403254,-11.256732,-10.505372,-10.782382,-11.197524,-11.199509,-9.57374,-9.51076,2023-12-01,AAPL,0.006768304
1983,-10.510569,-10.626889,-11.171934,-11.236534,-10.36891,-10.457325,-11.131723,-10.9969225,-9.086223,-8.944497,2023-12-04,AAPL,-0.00950962
1984,-10.712152,-10.670412,-11.520957,-11.301632,-10.708357,-10.584368,-11.732381,-11.153305,-10.07082,-9.969553,2023-12-05,AAPL,0.020844428
1985,-9.5406475,-9.801834,-9.926243,-10.680219,-9.122619,-9.459459,-9.355751,-10.693066,-5.9642773,-5.576525,2023-12-06,AAPL,-0.005703339
1986,-10.538391,-10.606171,-11.653874,-10.935521,-10.2779,-10.524139,-11.648665,-10.570807,-9.048826,-8.421461,2023-12-07,AAPL,0.010088293
1987,-10.581358,-10.504623,-11.235232,-11.315376,-10.618008,-10.844025,-11.028453,-11.706722,-9.063127,-9.2715845,2023-12-08,AAPL,0.0073850276
1988,-10.547575,-10.570898,-11.128067,-11.367691,-10.901117,-10.891174,-11.416648,-11.810377,-8.99744,-10.382401,2023-12-11,AAPL,-0.013011575
1989,-10.3736,-10.307635,-10.993414,-11.145881,-10.894537,-10.7915945,-11.681501,-11.501908,-8.682115,-10.418216,2023-12-12,AAPL,0.007888875
1990,-10.9517355,-10.946104,-11.526149,-11.779624,-10.934793,-10.855533,-11.506329,-11.766404,-10.415932,-10.76328,2023-12-13,AAPL,0.016553719
1991,-10.254035,-10.409179,-10.7115,-11.25611,-10.077489,-10.398745,-10.387743,-11.398962,-8.2751465,-8.056933,2023-12-14,AAPL,0.0007574419
1992,-9.959528,-10.000104,-10.51618,-10.810786,-9.95848,-10.233271,-10.454732,-10.897032,-7.488323,-7.6691575,2023-12-15,AAPL,-0.0027294802
1993,-10.344269,-10.56332,-11.221169,-10.882238,-10.698946,-10.683092,-11.553479,-11.253162,-8.305695,-9.667779,2023-12-18,AAPL,-0.008539675
1994,-10.43193,-10.453884,-11.265296,-11.002117,-10.513893,-10.759174,-11.51517,-10.971819,-8.707445,-9.169208,2023-12-19,AAPL,0.0053458367
1995,-10.763765,-10.863301,-11.49077,-11.424154,-11.01319,-11.061149,-11.508435,-11.9533,-9.101507,-10.33424,2023-12-20,AAPL,-0.01077173
1996,-10.698051,-10.723289,-11.618711,-11.205968,-10.860211,-11.001312,-12.174716,-11.173009,-9.6873865,-9.790311,2023-12-21,AAPL,-0.0007701985
1997,-10.282613,-10.458665,-10.928463,-11.0254,-10.209468,-10.299265,-10.974466,-10.835577,-8.031414,-8.92653,2023-12-22,AAPL,-0.00556301
1998,-10.894396,-10.888938,-11.688435,-11.495894,-11.2021265,-11.273292,-12.297661,-11.609123,-10.263055,-11.11017,2023-12-26,AAPL,-0.002844952
1999,-11.279171,-11.339287,-11.952367,-11.99266,-11.561901,-11.514216,-12.442139,-12.0974865,-10.089047,-11.66692,2023-12-27,AAPL,0.0005178664
2000,-10.83424,-11.015723,-11.468465,-11.589989,-10.888751,-11.070143,-11.602027,-11.562156,-9.787954,-10.4720745,2023-12-28,AAPL,0.0022237746
